Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
AT1G62920.1	1	1	0	0	26680394	0	0	0	0	0	26680394	0	0	0
AT1G63000.1	5	7	2574430.271	14220267.186	620008296	508696983.31	251993706.924	275551931.55	0	0	450370344	242021019	39802777.2	0
AT1G63160.1	1	1	0	0	24066564	26066295	0	0	0	0	24066564	0	0	0
AT1G63310.1	1	1	0	0	13509949	10479053.53	15485188.57	0	0	0	13509949	0	0	0
AT1G63460.1	3	4	0	6645954.052	155556224	88488327.55	7281660.827	34346329.19	0	0	155556224	34225190.39	0	0
AT1G63500.1	2	2	0	11752434.23	52128642	32420955.42	19089123.02	13552912.52	0	0	32388036	21140164.87	0	0
AT1G63610.1	4	5	149059276.35	72078766.51	184043522	145436808.92	11639165.84	0	108659458.47	0	162992784	0	0	0
AT1G63660.1	2	2	0	0	65711752	39049022.52	0	32355577.22	0	0	13054448	39049022.52	0	0
AT1G63680.1	9	11	157174388.13	75912552.609	119228657.25	95092446.996	852664072.56	1646217056.86	109578778.26	52539269.31	13498464.25	0	0	0
AT1G63770.1	32	89	2282220074.327	489794089.373	5275837886	6155199914.22	1231802339.67	1091335280.13	1639529276.12	258005515.19	4250087284	4033318370.27	478316172.88	516919108.86
AT1G63940.1	25	101	5774476504.56	2488122332.601	4712149173	5031209429.66	12586645090.33	11219240160.89	4767991916.26	1626840256.8	3206556468	3181633137.07	11950440340.58	10347344315.23
AT1G63970.1	4	10	569739266.35	86415815.922	411264324	303427458.12	72723661.32	49085197.04	74777155.45	12715955.98	369651144	303427458.12	42601119.56	0
AT1G64100.1	1	1	0	0	0	0	32715956.26	27396244.9	0	0	0	0	32715956.26	0
AT1G64150.1	1	2	61316982.91	52233581.17	18418472	35277824.88	0	0	61316982.91	52233581.17	0	0	0	0
AT1G64190.1	11	26	1383152042.72	649658156.08	716189434	911007500.63	413081733.45	82333216.48	1338069357.66	345697970.16	400253848	456297400.58	0	0
AT1G64200.1	1	1	0	3117821.407	0	0	16568345.72	0	0	0	0	0	16568345.72	0
AT1G64330.1	1	2	0	0	19897716	8424978.111	58368462.79	36187696.11	0	0	19897716	0	58368462.79	0
AT1G64355.1	3	7	196552340.63	356933841.02	67331720	19298444.25	0	14886538.58	164095345.23	356933841.02	44171776	0	0	0
AT1G64400.1	3	3	0	6392653.194	75301560	63925110.03	0	0	0	0	75301560	0	0	0
AT1G64430.1	5	6	144904203.647	118125627.41	37448785	19534838.758	0	32292207.5	53674379.55	82054559.76	0	11247636.03	0	0
AT1G64500.1	4	6	4647451.708	0	118499540	63648323.49	53296427.6	10698288.31	0	0	98294992	14000107.41	16027582.21	0
AT1G64510.1	4	15	526905940.33	43711457.308	506709100	373603719.54	0	5258028.751	526905940.33	39883053.22	261932964	373603719.54	0	0
AT1G64520.1	6	12	0	0	676577578	566920773.37	56064629.04	59201519.662	0	0	676577578	346919151.78	0	6621670.712
AT1G64550.1	3	3	6746851.157	0	87651760	41262201.507	43276894.87	20575208.56	0	0	87651760	26749563.68	43276894.87	0
AT1G64650.1	1	1	0	0	40194080	44769203.37	28771625.87	94370021.64	0	0	40194080	0	0	0
AT1G64680.1	4	6	611903910.3	734409328.35	96134449	184220784.22	42801912.174	75011257.41	133406903.9	734409328.35	0	82235424.02	0	0
AT1G64710.1	3	6	18629161.17	24832535.27	321421876	443006114.83	49736439.21	49873568.71	0	0	321421876	443006114.83	0	0
AT1G64740.1	3	5	0	9332411.814	149127632	219201000.09	0	142067120.67	0	0	149127632	137938450.75	0	0
AT1G64770.1	17	55	2400100405.596	4907676309.17	1790996803.5	2165934871.72	222915074.17	262643201.04	2226512267.09	4313499172.31	883709827	1917812468.03	0	33065429.95
AT1G64790.1	3	4	0	0	120786690	114892786.83	187501130.1	241347371.2	0	0	100722296	44862202.43	0	0
AT1G64850.1	2	4	54738962.47	52653472.03	175564928	154523556.3	108505793.89	109275277.86	0	47270331.16	175564928	154523556.3	64793996.09	0
AT1G64880.1	9	14	11633055.44	31683272.15	12010918	25335325.102	932772567.28	776299431.71	0	0	0	0	932772567.28	736040536.39
AT1G64890.1	2	3	0	0	23793544	27329172.94	2201785.157	14971498.676	0	0	23793544	27329172.94	2201785.157	0
AT1G64900.1	1	1	0	0	22389628	119897312.2	64731926.09	43518894.17	0	0	0	119897312.2	0	0
AT1G64970.1	7	12	307332673.67	366454791.003	174805774	315682915.31	244771187.2	840826704.264	173436840.58	346242475.72	55334248	114912843.81	0	0
AT1G65010.1	1	2	0	0	0	0	122719904.9	7717949.919	0	0	0	0	122719904.9	0
AT1G65020.1	1	1	0	0	28247212	54292735.73	0	0	0	0	28247212	0	0	0
