"Master Protein Accessions","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2"
"AT2G04270.1",1,1,0,0,0,0
"AT2G04390.1",1,3,3,3,12,14
"AT2G04400.1",12,11,0,0,7,11
"AT2G04700.1",5,4,0,0,1,4
"AT2G04842.1",11,0,0,0,7,6
"AT2G05070.1",1,48,0,0,1,0
"AT2G05310.1",2,7,1,1,1,2
"AT2G05380.1",1,2,7,2,1,2
"AT2G05520.1",2,1,6,2,1,1
"AT2G05620.1",1,2,1,1,0,1
"AT2G05710.1",12,12,98,81,16,27
"AT2G05990.1",12,10,4,3,12,11
"AT2G06850.1",4,4,5,2,14,8
"AT2G09990.1",1,0,3,0,0,3
"AT2G10940.1",1,1,2,2,2,0
"AT2G13360.1",9,5,31,16,32,33
"AT2G13440.1",1,0,0,0,0,0
"AT2G14170.1",3,2,36,28,10,6
"AT2G14260.1",5,2,0,0,8,5
"AT2G14750.1",3,2,0,0,2,2
"AT2G14880.1",2,6,6,0,3,0
"AT2G15290.1",2,2,1,0,2,2
"AT2G15570.1",2,0,0,0,0,0
"AT2G15620.1",29,20,0,0,21,16
"AT2G15890.1",4,6,0,0,0,1
"AT2G16070.1",1,1,0,0,0,0
"AT2G16600.1",1,2,6,9,9,10
"AT2G17265.1",8,7,0,0,5,4
"AT2G17630.1",1,0,0,0,0,1
"AT2G17695.1",4,3,0,0,2,3
"AT2G17972.1",3,3,0,0,3,2
"AT2G18020.1",3,0,9,10,2,8
"AT2G18660.1",1,1,2,2,3,0
"AT2G18710.1",10,11,0,0,2,4
"AT2G19330.1",1,1,0,0,0,0
"AT2G19730.1",1,2,8,6,5,6
"AT2G19870.1",3,0,0,0,0,0
"AT2G19940.1",16,11,0,0,12,14
"AT2G20260.1",10,13,4,2,7,6
"AT2G20270.1",4,1,3,2,2,2
"AT2G20420.1",1,2,71,61,23,21
"AT2G20610.1",1,0,0,0,9,4
"AT2G20690.1",11,5,0,0,6,10
"AT2G20890.1",16,10,16,12,13,8
"AT2G20920.1",4,3,0,0,0,1
"AT2G21130.1",1,0,0,0,0,2
"AT2G21170.1",21,18,2,2,19,22
"AT2G21280.1",8,3,3,0,4,7
"AT2G21330.1",19,23,3,2,22,16
"AT2G21340.1",1,0,0,0,1,1
"AT2G21370.1",4,0,0,0,3,7
"AT2G21385.1",11,4,0,0,6,6
"AT2G21480.1",1,0,0,0,0,0
"AT2G21520.1",2,2,0,0,1,1
"AT2G21530.1",15,7,0,0,9,8
"AT2G21580.1",1,1,4,0,2,1
"AT2G21660.1",4,3,8,12,7,8
"AT2G21860.1",4,3,0,0,3,3
"AT2G21960.1",16,25,0,0,7,6
"AT2G22230.1",7,4,1,1,3,4
"AT2G22250.1",5,3,0,0,4,2
"AT2G22360.1",6,7,0,0,2,1
"AT2G22450.1",6,3,0,0,0,1
"AT2G22480.1",7,7,0,0,4,7
"AT2G22870.1",2,0,0,0,0,0
"AT2G23670.1",3,6,0,0,3,3
"AT2G23820.1",1,0,4,3,2,0
"AT2G24020.1",11,3,0,0,6,3
"AT2G24060.1",7,1,1,0,4,2
"AT2G24090.1",3,3,0,0,0,1
"AT2G24820.1",10,10,14,5,9,7
"AT2G24940.1",1,2,3,1,3,8
"AT2G25080.1",11,8,8,5,6,5
"AT2G25830.1",7,1,12,7,4,3
"AT2G25840.1",7,1,5,6,5,4
"AT2G25870.1",2,0,1,1,1,0
"AT2G26080.1",1,0,55,37,6,9
"AT2G26340.1",11,12,0,0,4,5
"AT2G26540.1",2,0,0,0,3,2
"AT2G26670.1",9,4,0,0,6,6
"AT2G26900.1",4,3,1,0,5,4
"AT2G26930.1",8,2,0,0,5,4
"AT2G27290.1",7,11,0,0,2,0
"AT2G27510.1",2,0,0,0,0,0
"AT2G27680.1",23,13,2,0,8,12
"AT2G27710.1",2,2,2,4,5,5
"AT2G28000.1",42,35,12,10,37,40
"AT2G28190.1",20,17,2,0,11,6
"AT2G28605.1",3,2,0,0,2,1
"AT2G28790.1",1,1,2,2,0,0
"AT2G28800.1",9,12,0,0,3,1
"AT2G28900.1",12,10,20,14,14,14
"AT2G28950.1",1,3,0,0,1,1
"AT2G29630.1",9,0,0,0,5,2
"AT2G29690.1",6,3,0,0,4,3
"AT2G29720.1",2,5,20,16,2,2
"AT2G30170.1",5,0,0,0,6,8
"AT2G30200.1",13,6,6,2,7,4
"AT2G30390.1",3,8,0,0,1,3
"AT2G30620.1",3,6,23,15,6,3
"AT2G30695.1",6,4,0,0,4,5
"AT2G30860.1",9,5,8,5,11,12
"AT2G30870.1",2,1,1,2,9,8
"AT2G30930.1",1,3,4,6,10,8
"AT2G30950.1",28,40,10,8,17,12
"AT2G31040.1",8,8,0,0,0,0
"AT2G31170.1",2,0,15,3,2,2
"AT2G31190.1",2,0,0,0,0,0
"AT2G31610.1",4,1,1,2,2,3
"AT2G31670.1",8,6,7,5,10,5
"AT2G31810.1",10,7,0,0,4,0
"AT2G32180.1",1,1,0,0,0,0
"AT2G32220.1",1,0,0,0,0,0
"AT2G32230.1",1,0,0,0,0,0
"AT2G32290.1",2,2,0,0,0,0
"AT2G32480.1",2,2,0,0,1,0
"AT2G32640.1",3,5,0,0,0,1
"AT2G33040.1",3,5,60,49,11,15
"AT2G33150.1",2,8,31,22,20,14
"AT2G33210.1",3,7,49,43,10,8
"AT2G33450.1",6,5,1,0,3,2
"AT2G33800.1",21,16,5,3,16,14
"AT2G34420.1",1,2,0,0,0,0
"AT2G34430.1",6,14,4,3,8,9
"AT2G34460.1",12,14,5,3,8,9
"AT2G34480.1",2,3,6,8,8,9
"AT2G34640.1",9,6,0,0,1,0
"AT2G34810.1",1,8,0,0,6,6
"AT2G35040.1",11,7,0,0,11,7
"AT2G35240.1",1,0,2,1,1,0
"AT2G35370.1",8,11,47,37,13,17
"AT2G35390.1",1,1,0,0,0,0
"AT2G35410.1",18,13,1,0,12,10
"AT2G35450.1",4,0,0,0,5,6
"AT2G35490.1",13,15,3,0,9,8
"AT2G35500.1",5,1,0,0,2,0
"AT2G35660.1",5,7,0,0,0,2
"AT2G35800.1",3,1,0,0,0,0
"AT2G36145.1",3,3,0,0,4,2
"AT2G36230.1",2,2,0,0,3,0
"AT2G36250.1",9,1,1,1,8,8
"AT2G36390.1",22,4,0,0,13,22
"AT2G36460.1",1,0,6,3,15,11
"AT2G36470.1",1,0,0,0,0,0
"AT2G36530.1",4,5,12,9,28,32
"AT2G36580.1",1,0,3,0,0,2
"AT2G36830.1",2,2,1,1,8,4
"AT2G36835.1",5,5,2,0,3,4
"AT2G36885.1",1,1,0,0,0,0
"AT2G37020.1",2,0,2,0,1,1
"AT2G37190.1",2,3,1,0,0,1
"AT2G37220.1",10,4,2,3,9,8
"AT2G37240.1",2,2,0,0,2,3
"AT2G37270.1",2,2,10,6,16,16
"AT2G37400.1",2,3,0,0,1,2
"AT2G37500.1",8,4,0,0,2,5
"AT2G37660.1",22,14,2,1,11,17
"AT2G37690.1",6,4,0,0,1,4
"AT2G37860.1",3,2,0,0,2,2
"AT2G38040.1",46,27,5,2,23,18
"AT2G38140.1",4,4,0,0,5,4
"AT2G38270.1",11,8,0,0,7,9
"AT2G38530.1",1,1,1,1,3,0
"AT2G38540.1",4,1,6,3,2,3
"AT2G38550.1",9,9,2,0,7,8
"AT2G38780.1",2,0,0,0,0,0
"AT2G38810.1",1,0,4,0,3,2
"AT2G39080.1",3,1,0,0,5,2
